CPE,model,normalized,MAE,RMSE,MAPE,n_test,model_label
PT0002000068856906VS,Baseline,N/A,0.9508928571428572,1.1645471706295103,16.3174912626686,29,Baseline (N/A)
PT0002000081997398TD,Baseline,N/A,2.5909926470588225,3.9405006773946774,7.995282742130996,34,Baseline (N/A)
PT0002000073231742VK,Baseline,N/A,0.40884216589861755,0.5821745368360298,9.001405305797848,31,Baseline (N/A)
PT0002000033074862LZ,Baseline,N/A,0.9882756132756133,1.5176304632960218,14.649040793284707,33,Baseline (N/A)
PT0002000068859393XH,Baseline,N/A,3.693452380952381,5.829023560821331,14.416117439226708,32,Baseline (N/A)
PT0002000078233981HJ,Baseline,N/A,0.3783820346320347,0.5165902457347118,14.428262196103525,22,Baseline (N/A)
PT0002000115031201VQ,Baseline,N/A,1.8309433621933624,2.7770514190567117,26.668110594142835,33,Baseline (N/A)
PT0002000100113293JT,Baseline,N/A,1.0846354166666665,1.5631989826860375,11.562872675983481,8,Baseline (N/A)
PT0002000068859187RL,Baseline,N/A,1.607187950937951,2.349721914852087,15.772300954214296,33,Baseline (N/A)
PT0002000068856906VS,RF,No,0.9197134547805157,1.1109179627462613,16.44067420685721,29,RF (No)
PT0002000081997398TD,RF,No,3.7793252431733415,4.934569808653156,11.968900244513035,34,RF (No)
PT0002000073231742VK,RF,No,0.5144952273915219,0.6453053290652179,11.02979385436967,31,RF (No)
PT0002000033074862LZ,RF,No,1.0054114722502672,1.458603012359055,14.028833663407816,33,RF (No)
PT0002000068859393XH,RF,No,2.97776049568985,3.789598076966275,12.171858146183778,32,RF (No)
PT0002000078233981HJ,RF,No,0.33314388699004627,0.4730733355861968,12.164840264384274,22,RF (No)
PT0002000115031201VQ,RF,No,1.9649424431632732,2.8198620534798406,24.158940742282503,33,RF (No)
PT0002000068859187RL,RF,No,1.5383519653759445,2.1144410497839807,14.039302541596385,33,RF (No)
PT0002000068856906VS,RF,Yes,0.9201244916090401,1.1109159133687119,16.439553672809502,29,RF (Yes)
PT0002000081997398TD,RF,Yes,3.7852441821030802,4.942896669779209,11.985438014223671,34,RF (Yes)
PT0002000073231742VK,RF,Yes,0.5145935356832526,0.6450596148118917,11.030548392875158,31,RF (Yes)
PT0002000033074862LZ,RF,Yes,1.0063452895903344,1.4590814258547566,14.047668951356693,33,RF (Yes)
PT0002000068859393XH,RF,Yes,2.978678115667531,3.7902550768311536,12.175095614682764,32,RF (Yes)
PT0002000078233981HJ,RF,Yes,0.33562390131269465,0.4773246671187211,12.301671281170167,22,RF (Yes)
PT0002000115031201VQ,RF,Yes,1.961139412412883,2.8183999575337446,24.07367001052238,33,RF (Yes)
PT0002000068859187RL,RF,Yes,1.5380451386048317,2.1147596810979663,14.031753409948152,33,RF (Yes)
PT0002000068856906VS,XGBoost,No,0.8756557152972042,1.0644759673546837,15.710402528945504,29,XGBoost (No)
PT0002000081997398TD,XGBoost,No,5.307722358810468,6.627528307893162,16.80596133976651,34,XGBoost (No)
PT0002000073231742VK,XGBoost,No,0.5091143291666761,0.656423320421504,10.836261395577537,31,XGBoost (No)
PT0002000033074862LZ,XGBoost,No,1.0721014302874368,1.4850844844393163,14.567763365605357,33,XGBoost (No)
PT0002000068859393XH,XGBoost,No,3.1500576848075506,3.9325459983828415,13.10800300573681,32,XGBoost (No)
PT0002000078233981HJ,XGBoost,No,0.321217912358123,0.4791715207890245,11.829319181946207,22,XGBoost (No)
PT0002000115031201VQ,XGBoost,No,2.033925636334165,2.903380397114998,24.296779841934583,33,XGBoost (No)
PT0002000068859187RL,XGBoost,No,1.5957399116450062,2.2067799996121145,14.41323615992098,33,XGBoost (No)
PT0002000068856906VS,XGBoost,Yes,0.8756557152972042,1.0644759673546837,15.710402528945504,29,XGBoost (Yes)
PT0002000081997398TD,XGBoost,Yes,5.307722358810468,6.627528307893162,16.80596133976651,34,XGBoost (Yes)
PT0002000073231742VK,XGBoost,Yes,0.5091143291666761,0.656423320421504,10.836261395577537,31,XGBoost (Yes)
PT0002000033074862LZ,XGBoost,Yes,1.0721014302874368,1.4850844844393163,14.567763365605357,33,XGBoost (Yes)
PT0002000068859393XH,XGBoost,Yes,3.1500576848075506,3.9325459983828415,13.10800300573681,32,XGBoost (Yes)
PT0002000078233981HJ,XGBoost,Yes,0.321217912358123,0.4791715207890245,11.829319181946207,22,XGBoost (Yes)
PT0002000115031201VQ,XGBoost,Yes,2.033925636334165,2.903380397114998,24.296779841934583,33,XGBoost (Yes)
PT0002000068859187RL,XGBoost,Yes,1.5957399116450062,2.2067799996121145,14.41323615992098,33,XGBoost (Yes)
PT0002000068856906VS,MLP,No,1.086525063267182,1.245113913606974,19.714057303715283,29,MLP (No)
PT0002000081997398TD,MLP,No,2.1066812702176865,3.1185375306844394,6.510082143080689,34,MLP (No)
PT0002000073231742VK,MLP,No,0.498168981810484,0.6949526662692856,10.841892076872464,31,MLP (No)
PT0002000033074862LZ,MLP,No,0.8893353033059347,1.3753326562805908,13.690331362676886,33,MLP (No)
PT0002000068859393XH,MLP,No,3.93447058464679,5.183897933862505,14.956295874867841,32,MLP (No)
